,Bacteria,Chemicals,Bacteria_counts,Correlation,Importance_random_forest,CV_random_forest,R_squared_random_forest,Importance_xgboost,CV_xgboost,R_squared_xgboost,Importance_decition_tree,CV_decition_tree,R_squared_decition_tree
0,{Unknown Order} Acidobacteria-6,Ga,51,-0.4222225616322596,0.3524848860207209,-0.06985203688101116,0.4929836311995629,1.1080677468812559,-1.0825058538473387,0.9938343207872655,1.0363853433010424,-1.334473694367367,0.5127711749908331
1,{Unknown Genus} AKIW659,Ba,23,-0.6379256057705446,0.23406447195763347,0.4353272896218475,0.8220743561343734,1.4153463212878856,-0.8159468515107762,0.7535237919043745,1.007992477668077,-0.3025,0.8871650211565585
2,{Unknown Genus} Frankiaceae,"['Fe', 'Al', 'Cr', 'Mn']",26,-0.0014091218918423432,0.2717402850247901,-0.23834040631448805,0.22952692939186925,1.5867073701926002,-42.293462891218056,-0.6231013923279538,1.1197887191096019,-18.595096017647737,-0.41822297679683085
3,{Unknown Genus} Frankiaceae,"['Se', 'Mo']",26,0.12699206652526798,0.26500358208580155,-0.23834040631448805,0.22952692939186925,1.590559353862283,-42.293462891218056,-0.6231013923279538,1.0473495566874176,-18.595096017647737,-0.41822297679683085
4,{Unknown Genus} Frankiaceae,"['Fluoren', 'Fluoranten']",26,-0.08982987944697068,0.2734880069713368,-0.23834040631448805,0.22952692939186925,1.6231013207814777,-42.293462891218056,-0.6231013923279538,1.1197887191096019,-18.595096017647737,-0.41822297679683085
5,{Unknown Genus} Frankiaceae,pH,26,0.15147671267024926,0.22086649211704046,-0.23834040631448805,0.22952692939186925,1.6293293704231697,-42.293462891218056,-0.6231013923279538,1.119285669370559,-18.595096017647737,-0.41822297679683085
6,{Unknown Genus} Frankiaceae,B,26,-0.24907516161840093,0.2692797498537812,-0.23834040631448805,0.22952692939186925,1.6120711486238082,-42.293462891218056,-0.6231013923279538,1.0507451424259573,-18.595096017647737,-0.41822297679683085
7,{Unknown Genus} Frankiaceae,Ni,26,-0.041704305571465455,0.2728344650773401,-0.23834040631448805,0.22952692939186925,1.6231595627205424,-42.293462891218056,-0.6231013923279538,1.0507451424259573,-18.595096017647737,-0.41822297679683085
8,{Unknown Genus} Frankiaceae,Ga,26,-0.09067415611321931,0.28026551130117205,-0.23834040631448805,0.22952692939186925,1.6213259884773572,-42.293462891218056,-0.6231013923279538,1.0507451424259573,-18.595096017647737,-0.41822297679683085
9,{Unknown Genus} Frankiaceae,Rb,26,-0.11642911983588775,0.27218626595755446,-0.23834040631448805,0.22952692939186925,1.623557728181875,-42.293462891218056,-0.6231013923279538,1.0507451424259573,-18.595096017647737,-0.41822297679683085
